timestamp,speed_mph,incident_text,max_severity,n_incidents,affected_streets,weather,temperature_f
2017-01-01 00:00:00,68.08,Accident on I-80 Westbound at Exit 15 Cutting Blvd. | Accident on I-580 Southbound at Exit 12 I-80 I-580.,3,2,"I-80 E, I-580 W",Overcast,47.6
2017-01-01 01:00:00,67.69,Lane blocked and queueing traffic due to accident on I-580 Eastbound at Exit 11 Bayview Ave. | Queueing traffic due to accident on I-80 Westbound at Exit 15 Cutting Blvd.,3,2,"Bayview Ave, I-80 E",Mostly Cloudy,44.1
2017-01-01 02:00:00,67.24,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 03:00:00,67.26,Shoulder blocked on exit ramp due to accident on I-880 Northbound for CA-84. | #1 lane blocked due to accident on I-880 Northbound at CA-17.,3,3,"I-880 N, CA-17 S",Overcast,45.7
2017-01-01 04:00:00,68.23,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 05:00:00,68.72,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 06:00:00,68.63,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 07:00:00,68.46,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 08:00:00,68.98,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 09:00:00,69.24,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 10:00:00,67.18,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 11:00:00,66.5,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 12:00:00,65.99,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 13:00:00,66.09,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 14:00:00,66.15,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 15:00:00,66.18,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 16:00:00,65.54,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 17:00:00,67.98,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 18:00:00,68.19,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 19:00:00,68.54,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 20:00:00,68.64,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 21:00:00,68.54,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 22:00:00,68.62,Normal traffic flow,0,0,,Clear,58.4
2017-01-01 23:00:00,68.07,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 00:00:00,67.78,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 01:00:00,67.08,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 02:00:00,67.02,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 03:00:00,67.77,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 04:00:00,69.09,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 05:00:00,69.74,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 06:00:00,60.03,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 07:00:00,47.95,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 08:00:00,51.73,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 09:00:00,64.69,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 10:00:00,66.57,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 11:00:00,67.27,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 12:00:00,67.19,At Washington St - Accident. Left lane blocked.,2,1,I-280 S,Overcast,52.0
2017-01-02 13:00:00,67.1,Accident on I-280 Southbound at Exit 53 Alemany Blvd. On the median.,3,1,I-280 S,Overcast,52.0
2017-01-02 14:00:00,66.87,Accident on CA-87 Guadalupe Pkwy Northbound at Exit 8 Skyport Dr. | Right lane blocked due to accident on I-280 Southbound near Exit 48 Junipero Serra Blvd.,3,3,"Guadalupe Pkwy N, I-280 S, Nimitz Fwy S",Mostly Cloudy,51.3
2017-01-02 15:00:00,67.06,Right hand shoulder closed due to accident on I-280 Northbound between Exits 1 1B 2 11th St and Exit 2A 4th St. | Shoulder blocked on exit ramp due to accident on I-280 Northbound for Geneva Ave.,3,4,"S 3rd St, John F Foran Fwy, Santa Cruz Ave",Mostly Cloudy,50.3
2017-01-02 16:00:00,66.92,Shoulder blocked on exit ramp due to accident on CA-85 Southbound for Exit 9 Union Ave. | Right hand shoulder blocked due to accident on CA-87 Guadalupe Pkwy Southbound near Exit 8 Skyport Dr.,3,3,"CA-85 S, Guadalupe Pkwy N, I-880 N",Mostly Cloudy,50.7
2017-01-02 17:00:00,65.92,Right hand shoulder blocked due to accident on County Hwy-G2 Lawrence Expy Northbound at Kifer Rd. | Accident on US-101 Northbound before CA-109 University Ave.,3,7,"Lawrence Expy, US-101 N, I-680 N",Overcast,49.8
2017-01-02 18:00:00,66.61,Right hand shoulder blocked due to accident on County Hwy-G4 San Tomas Expy Northbound after Forbes Ave. | Right hand shoulder blocked due to accident on I-980 Eastbound before 14th St.,3,4,"San Tomas Expy, I-980 W, Junipero Serra Fwy N",Mostly Cloudy,50.0
2017-01-02 19:00:00,68.1,Right hand shoulder blocked due to accident on I-280 Northbound before Exit 44 Avalon Dr. | Right lane blocked due to accident on Fashion Island Blvd at Edgewater Blvd.,3,3,"Junipero Serra Fwy N, J Arthur Younger Fwy W, CA-17 N",Mostly Cloudy,48.1
2017-01-02 20:00:00,68.54,#1 lane blocked due to accident on I-680 Northbound before Exit 40 El Cerro Blvd. | Right hand shoulder blocked due to accident on US-101 Northbound before Toll Plaza.,3,4,"I-680 N, Golden Gate Brg S, McBryde Ave",Light Rain,48.7
2017-01-02 21:00:00,68.7,Shoulder blocked on exit ramp due to accident on I-280 Southbound from Monterey Blvd. | Right hand shoulder blocked due to accident on US-101 Southbound before Exits 384 385 Story Rd.,3,2,"I-280 S, Bayshore Fwy S",Light Rain,48.6
2017-01-02 22:00:00,68.48,Normal traffic flow,0,0,,Clear,58.4
2017-01-02 23:00:00,68.06,Accident on I-238 Southbound at Exit 14 I-580.,3,1,I-238 S,Overcast,48.9
2017-01-03 00:00:00,67.74,Normal traffic flow,0,0,,Clear,58.4
2017-01-03 01:00:00,67.08,Lane blocked due to accident on I-580 Eastbound at MacArthur Blvd.,3,1,I-580 W,Overcast,48.9
2017-01-03 02:00:00,67.19,Normal traffic flow,0,0,,Clear,58.4
2017-01-03 03:00:00,67.57,One lane blocked due to accident on I-880 Southbound at Exit 40 Embarcadero.,3,1,Nimitz Fwy S,Light Rain,48.9
2017-01-03 04:00:00,69.19,Right hand shoulder blocked due to accident on I-80 Eastbound around Exits 8A 8B I-880. | Lane blocked due to accident on I-80 I-580 Eastbound at Exit 9 I-580.,3,5,"I-80 W, Ralston Ave, Park Blvd",Light Rain,48.8
2017-01-03 05:00:00,63.87,#2 lane blocked due to accident on I-580 Eastbound at I-80. | At 3rd Ave/Exit 416 - Accident.,3,2,"I-580 W, Bayshore Fwy N",Light Rain,49.1
2017-01-03 06:00:00,48.19,#1 lane blocked and left hand shoulder blocked due to accident on I-880 Southbound after Oak St. | At Oak St - Accident.,3,4,"I-880 N, Nimitz Fwy S, US-101 N",Light Rain,49.6
