Velocidad_Real,Prediccion_Promedio_Historico,Prediccion_MLP_RedNeuronal,Prediccion_ARIMA
63.81,58.373182733812946,61.93786707355386,62.56978172384932
63.35,58.373182733812946,63.133730556983,62.57103637069315
62.63,58.373182733812946,61.90165555295339,62.571053903645684
62.43,58.373182733812946,61.88699496983955,62.5710541486584
62.08,58.373182733812946,62.16047728655253,62.571054152082304
61.38,58.373182733812946,62.59267696748776,62.57105415213015
61.05,58.373182733812946,61.77721131938838,62.57105415213082
60.97,58.373182733812946,61.5497324266093,62.57105415213083
61.18,58.373182733812946,61.5272115059604,62.57105415213083
62.79,58.373182733812946,61.55927038816638,62.57105415213083
63.98,58.373182733812946,62.56522619246571,62.57105415213083
61.1,58.373182733812946,62.535005845759194,62.57105415213083
44.42,58.373182733812946,57.826048664479934,62.57105415213083
47.08,58.373182733812946,30.24613251376819,62.57105415213083
58.12,58.373182733812946,57.13484689285011,62.57105415213083
61.42,58.373182733812946,62.49227618238425,62.57105415213083
61.68,58.373182733812946,64.60975643265927,62.57105415213083
62.74,58.373182733812946,60.07453403994964,62.57105415213083
63.46,58.373182733812946,61.553933608172294,62.57105415213083
62.74,58.373182733812946,61.96361295762744,62.57105415213083
63.02,58.373182733812946,61.38326039286299,62.57105415213083
63.63,58.373182733812946,62.32254550037449,62.57105415213083
63.1,58.373182733812946,63.094436207494844,62.57105415213083
63.75,58.373182733812946,62.662351008749155,62.57105415213083
64.44,58.373182733812946,63.34429948173351,62.57105415213083
62.9,58.373182733812946,63.5891581243285,62.57105415213083
62.81,58.373182733812946,61.58269389592976,62.57105415213083
62.58,58.373182733812946,62.81009140546458,62.57105415213083
62.08,58.373182733812946,62.77989655935759,62.57105415213083
61.47,58.373182733812946,62.668653289685736,62.57105415213083
61.32,58.373182733812946,61.67754907746903,62.57105415213083
61.18,58.373182733812946,61.88929273189755,62.57105415213083
61.12,58.373182733812946,61.64569270498506,62.57105415213083
61.32,58.373182733812946,61.40522251558601,62.57105415213083
62.02,58.373182733812946,61.278776990187175,62.57105415213083
62.79,58.373182733812946,61.72431212384832,62.57105415213083
63.31,58.373182733812946,61.962921257491026,62.57105415213083
62.51,58.373182733812946,62.08222660673401,62.57105415213083
62.32,58.373182733812946,61.190535729791385,62.57105415213083
61.33,58.373182733812946,61.92580632960382,62.57105415213083
61.4,58.373182733812946,61.24806342179735,62.57105415213083
60.66,58.373182733812946,62.35281917370988,62.57105415213083
60.87,58.373182733812946,60.97402991520809,62.57105415213083
